"id","owner_uid","name","client_name","budget_cents","created_at","updated_at","company_name","project_location","budget_mode","ffe_budget_cents","proposal_budget_cents","proposal_status","proposal_status_updated_at"
"0641b160-9c3d-472a-aed5-dbeaa969e3f9","g3OP5KI0giRhgFfIzkh6UfyHM493","Cork & Batter","","0","2026-05-06 14:32:58.871567+00","2026-05-06 14:32:58.871567+00","Project Group USA","New York, NY","shared","0","0","in_progress","2026-05-12 19:57:29.072628+00"
"0d7eab44-0f67-4a62-838c-758a819731d1","g3OP5KI0giRhgFfIzkh6UfyHM493","EARLS Renovation","Earl","25000000","2026-05-04 04:33:08.560419+00","2026-05-05 17:06:38.483969+00","Project Group USA","New York, NY","shared","0","0","in_progress","2026-05-12 19:57:29.072628+00"
"114be53e-3eac-4046-ae4f-f548d5aecba1","ln4RDbq3NWQOHzLc1FP1XFNSnK12","Earls","","0","2026-05-07 20:54:26.20812+00","2026-05-07 20:54:26.20812+00","","","shared","0","0","in_progress","2026-05-12 19:57:29.072628+00"
"24d0ba84-f47b-4ce8-a970-ca143b27bed3","ln4RDbq3NWQOHzLc1FP1XFNSnK12","Sample Project","Interior Design Co.","3500000","2026-05-07 20:53:30.975008+00","2026-05-07 20:53:30.975008+00","ChillDesignStudio","Los Angeles, CA","shared","0","0","in_progress","2026-05-12 19:57:29.072628+00"
"73e17544-3819-4e5b-99de-ad52c37ff478","T6ZEvRR0huWwShwOGU4sFdrKRBv1","Sample Project","Interior Design Co.","3500000","2026-05-04 02:54:00.351705+00","2026-05-04 02:54:00.351705+00","ChillDesignStudio","Los Angeles, CA","shared","0","0","in_progress","2026-05-12 19:57:29.072628+00"
"d2b42d47-d847-481a-9b52-bf67a3fde1cf","ZOUkAEyD4qO62vEpkFBThBUbPHo2","Sample Project","Interior Design Co.","3500000","2026-05-01 20:35:43.188621+00","2026-05-04 02:27:05.260152+00","JImsJims","San DIego","shared","0","0","in_progress","2026-05-12 19:57:29.072628+00"
"ec3e4bf9-6e28-4db0-91db-f6e69da3a4a5","ST9mOBYPVshERc9OG9Ytx6LJw8B3","jim","jim","2677700","2026-05-01 19:02:51.086931+00","2026-05-01 19:02:51.086931+00","","","shared","0","0","in_progress","2026-05-12 19:57:29.072628+00"
